"success"	"type"	"parameters"
1	"algorithm1"	15410
0	"algorithm1"	18502
0	"algorithm1"	13973
0	"algorithm1"	19148
0	"algorithm1"	18105
0	"algorithm1"	18754
0	"algorithm1"	15979
0	"algorithm1"	14194
0	"algorithm1"	11040
1	"algorithm1"	14951
1	"algorithm1"	15110
1	"algorithm1"	15738
0	"algorithm1"	10103
0	"algorithm1"	11928
1	"algorithm1"	19408
0	"algorithm1"	12095
0	"algorithm1"	15003
0	"algorithm1"	10365
0	"algorithm1"	12362
0	"algorithm1"	11083
0	"algorithm1"	14045
0	"algorithm1"	17719
0	"algorithm1"	16707
0	"algorithm1"	10698
0	"algorithm1"	12466
1	"algorithm1"	17868
1	"algorithm1"	19111
1	"algorithm1"	11763
1	"algorithm1"	16697
0	"algorithm1"	12106
0	"algorithm1"	14627
0	"algorithm1"	19677
0	"algorithm1"	19765
0	"algorithm1"	11228
0	"algorithm1"	11382
0	"algorithm1"	13752
1	"algorithm1"	13278
1	"algorithm1"	18151
0	"algorithm1"	16156
0	"algorithm1"	11860
0	"algorithm1"	12659
0	"algorithm1"	10022
0	"algorithm1"	10535
0	"algorithm1"	14250
1	"algorithm1"	18290
0	"algorithm1"	10918
0	"algorithm1"	11008
0	"algorithm1"	10953
0	"algorithm1"	13978
0	"algorithm1"	19322
1	"algorithm1"	10984
1	"algorithm1"	19352
1	"algorithm1"	17569
0	"algorithm1"	11598
1	"algorithm1"	12480
0	"algorithm1"	14224
0	"algorithm1"	10367
0	"algorithm1"	12472
0	"algorithm1"	15874
0	"algorithm1"	13220
0	"algorithm1"	11792
0	"algorithm1"	14980
0	"algorithm1"	13773
0	"algorithm1"	14257
1	"algorithm1"	19746
1	"algorithm1"	18412
1	"algorithm1"	17458
0	"algorithm1"	19430
1	"algorithm1"	15767
0	"algorithm1"	10964
1	"algorithm1"	18909
0	"algorithm1"	12809
0	"algorithm1"	13502
1	"algorithm1"	13438
0	"algorithm1"	14731
0	"algorithm1"	14817
0	"algorithm1"	16706
1	"algorithm1"	13232
1	"algorithm1"	14591
0	"algorithm1"	11770
0	"algorithm1"	13289
0	"algorithm1"	11155
0	"algorithm1"	18567
0	"algorithm1"	14207
0	"algorithm1"	12998
0	"algorithm1"	14593
0	"algorithm1"	16846
0	"algorithm1"	16415
0	"algorithm1"	10630
0	"algorithm1"	10593
0	"algorithm1"	11192
1	"algorithm1"	19306
0	"algorithm1"	12353
1	"algorithm1"	15685
0	"algorithm1"	15394
0	"algorithm1"	19275
0	"algorithm1"	12051
0	"algorithm1"	17471
1	"algorithm1"	18509
0	"algorithm1"	19272
1	"algorithm2"	17323
0	"algorithm2"	17540
1	"algorithm2"	24239
1	"algorithm2"	22725
1	"algorithm2"	17902
1	"algorithm2"	19927
1	"algorithm2"	15672
1	"algorithm2"	24421
0	"algorithm2"	18578
1	"algorithm2"	18842
1	"algorithm2"	21996
0	"algorithm2"	15445
1	"algorithm2"	24865
0	"algorithm2"	15352
0	"algorithm2"	16672
0	"algorithm2"	21968
1	"algorithm2"	18418
0	"algorithm2"	17097
1	"algorithm2"	24079
1	"algorithm2"	24087
1	"algorithm2"	22945
0	"algorithm2"	22565
1	"algorithm2"	18763
1	"algorithm2"	22463
0	"algorithm2"	19414
1	"algorithm2"	24295
1	"algorithm2"	20875
0	"algorithm2"	16235
1	"algorithm2"	18763
0	"algorithm2"	15456
0	"algorithm2"	18861
0	"algorithm2"	19917
0	"algorithm2"	16346
0	"algorithm2"	16164
0	"algorithm2"	21683
0	"algorithm2"	18706
1	"algorithm2"	20462
1	"algorithm2"	24028
1	"algorithm2"	15300
1	"algorithm2"	19500
0	"algorithm2"	18325
1	"algorithm2"	20716
1	"algorithm2"	16072
1	"algorithm2"	20098
0	"algorithm2"	20221
1	"algorithm2"	17172
1	"algorithm2"	24406
1	"algorithm2"	20831
1	"algorithm2"	19912
0	"algorithm2"	16795
1	"algorithm2"	23475
1	"algorithm2"	24704
0	"algorithm2"	15088
1	"algorithm2"	17351
1	"algorithm2"	22968
0	"algorithm2"	17626
1	"algorithm2"	23934
1	"algorithm2"	20465
0	"algorithm2"	16244
0	"algorithm2"	19300
1	"algorithm2"	22902
1	"algorithm2"	22650
1	"algorithm2"	22511
1	"algorithm2"	17083
0	"algorithm2"	21712
1	"algorithm2"	24501
1	"algorithm2"	21031
0	"algorithm2"	17775
1	"algorithm2"	22361
1	"algorithm2"	17389
0	"algorithm2"	16361
0	"algorithm2"	22430
1	"algorithm2"	23662
0	"algorithm2"	24744
1	"algorithm2"	23736
1	"algorithm2"	20951
1	"algorithm2"	17321
0	"algorithm2"	19985
0	"algorithm2"	16653
0	"algorithm2"	15093
0	"algorithm2"	17631
0	"algorithm2"	24217
0	"algorithm2"	16199
0	"algorithm2"	23960
1	"algorithm2"	19461
0	"algorithm2"	24320
0	"algorithm2"	21823
1	"algorithm2"	24992
1	"algorithm2"	22434
1	"algorithm2"	23459
1	"algorithm2"	19064
0	"algorithm2"	18347
0	"algorithm2"	22179
1	"algorithm2"	19422
0	"algorithm2"	20253
0	"algorithm2"	20130
0	"algorithm2"	15198
1	"algorithm2"	23930
0	"algorithm2"	18120
0	"algorithm2"	20243
