"group"	"grade"
"control"	15.6
"control"	16
"control"	17.4
"control"	17.3
"control"	15.8
"control"	16
"control"	14.4
"control"	14.1
"control"	18.6
"control"	17.1
"control"	16.7
"control"	16.2
"control"	17.7
"control"	16.6
"control"	15
"control"	15.7
"control"	15.7
"control"	14.4
"control"	15
"control"	14.6
"control"	16.6
"control"	16.5
"control"	15.9
"control"	17.1
"control"	15.3
"experiment"	16.4
"experiment"	17.8
"experiment"	15.6
"experiment"	16.3
"experiment"	16.3
"experiment"	18.3
"experiment"	16.9
"experiment"	16.1
"experiment"	16.7
"experiment"	16.6
"experiment"	16.8
"experiment"	16.7
"experiment"	15.8
"experiment"	17
"experiment"	15.6
"experiment"	15.6
"experiment"	16.1
"experiment"	15.5
"experiment"	16.1
"experiment"	15.9
"experiment"	16.4
"experiment"	16.2
"experiment"	16.1
"experiment"	16.9
"experiment"	16.2
