"group"	"grade"
"control"	15.5
"control"	15.5
"control"	13.7
"control"	15.6
"control"	15.4
"control"	16.5
"control"	15.7
"control"	14.6
"control"	16.6
"control"	15.7
"control"	15.8
"control"	16.5
"control"	16.5
"control"	16.1
"control"	17.6
"control"	15.7
"control"	15.3
"control"	16.1
"control"	16.4
"control"	15.1
"control"	16.9
"control"	15
"control"	17.2
"control"	15.1
"control"	16.5
"experiment"	16.5
"experiment"	14.8
"experiment"	15.4
"experiment"	16.6
"experiment"	16.8
"experiment"	14.7
"experiment"	18
"experiment"	17.2
"experiment"	18
"experiment"	17.1
"experiment"	16.4
"experiment"	16.7
"experiment"	16.8
"experiment"	16.4
"experiment"	17.3
"experiment"	14.5
"experiment"	17.8
"experiment"	17
"experiment"	14.1
"experiment"	16
"experiment"	15.7
"experiment"	16.4
"experiment"	15.6
"experiment"	17.1
"experiment"	15.8
