"group"	"grade"
"control"	15.8
"control"	15.1
"control"	17.1
"control"	16.1
"control"	16
"control"	15.1
"control"	15.1
"control"	16.4
"control"	16.9
"control"	14.3
"control"	16.2
"control"	15.1
"control"	16.4
"control"	16.3
"control"	16.7
"control"	16.8
"control"	15.9
"control"	16.1
"control"	17
"control"	16.5
"control"	17
"control"	16.8
"control"	15.5
"control"	16.1
"control"	16.2
"experiment"	16.3
"experiment"	14.8
"experiment"	16.5
"experiment"	15.3
"experiment"	18.3
"experiment"	16.2
"experiment"	17.3
"experiment"	13.6
"experiment"	16.2
"experiment"	17
"experiment"	17.2
"experiment"	17.4
"experiment"	17.1
"experiment"	17.4
"experiment"	15.8
"experiment"	15.3
"experiment"	17
"experiment"	16.6
"experiment"	18.1
"experiment"	16.9
"experiment"	15.6
"experiment"	16.2
"experiment"	16.7
"experiment"	14.7
"experiment"	17.2
