"crystal"	"frequency"
"x1"	536868932
"x1"	536869474
"x1"	536870813
"x1"	536887400
"x1"	536871339
"x1"	536874236
"x1"	536870852
"x1"	536872245
"x1"	536869321
"x1"	536872296
"x1"	536872710
"x1"	536871041
"x1"	536874938
"x1"	536871810
"x1"	536880029
"x1"	536867770
"x1"	536870967
"x1"	536868758
"x1"	536871125
"x1"	536870601
"x1"	536871461
"x1"	536864867
"x1"	536871712
"x1"	536871781
"x1"	536871648
"x1"	536869656
"x1"	536870482
"x1"	536870924
"x1"	536871493
"x1"	536870572
"x1"	536874186
"x1"	536870962
"x1"	536871990
"x1"	536869893
"x1"	536870304
"x1"	536869021
"x1"	536871131
"x1"	536877313
"x1"	536871110
"x1"	536871272
"x1"	536870193
"x1"	536872941
"x1"	536870961
"x1"	536870413
"x1"	536870848
"x1"	536870016
"x1"	536871576
"x1"	536871969
"x1"	536867145
"x1"	536867097
"x1"	536869577
"x1"	536873857
"x1"	536871288
"x1"	536871377
"x1"	536872060
"x1"	536869923
"x1"	536871512
"x1"	536871258
"x1"	536869597
"x1"	536870685
"x1"	536867908
"x1"	536870569
"x1"	536871315
"x1"	536871549
"x1"	536873290
"x1"	536782282
"x1"	536872440
"x1"	536872010
"x1"	536876784
"x1"	536872209
"x1"	536867610
"x1"	536871010
"x1"	536871124
"x1"	536871280
"x1"	536870884
"x1"	536858631
"x1"	536869176
"x1"	536870881
"x1"	536867541
"x1"	536870611
"x1"	536869863
"x1"	536872853
"x1"	536870331
"x1"	536870134
"x1"	536871865
"x1"	536871671
"x1"	536868848
"x1"	536870378
"x1"	536871402
"x1"	536870733
"x1"	536869709
"x1"	536870730
"x1"	536870767
"x1"	536873570
"x1"	536876963
"x1"	536870994
"x1"	536868179
"x1"	536861226
"x1"	536871965
"x1"	536871267
"x2"	536871687
"x2"	536870653
"x2"	536869791
"x2"	536870463
"x2"	536869893
"x2"	536870236
"x2"	536871391
"x2"	536871774
"x2"	536869917
"x2"	536871233
"x2"	536870833
"x2"	536870055
"x2"	536870218
"x2"	536863965
"x2"	536874446
"x2"	536871841
"x2"	536870582
"x2"	536871622
"x2"	536869782
"x2"	536877091
"x2"	536882541
"x2"	536870646
"x2"	536870075
"x2"	536871410
"x2"	536873523
"x2"	536871999
"x2"	536872348
"x2"	536870942
"x2"	536873298
"x2"	536869354
"x2"	536871938
"x2"	536872084
"x2"	536870708
"x2"	536871720
"x2"	536870631
"x2"	536871721
"x2"	536865014
"x2"	536868428
"x2"	536870089
"x2"	536872174
"x2"	536876542
"x2"	536869653
"x2"	536870649
"x2"	536868398
"x2"	536876467
"x2"	536870582
"x2"	536871854
"x2"	536871473
"x2"	536874020
"x2"	536879600
"x2"	536866672
"x2"	536870257
"x2"	536871647
"x2"	536869221
"x2"	536870053
"x2"	536872225
"x2"	536871137
"x2"	536870334
"x2"	536872168
"x2"	536836308
"x2"	536875927
"x2"	536870704
"x2"	536870958
"x2"	536904956
"x2"	536870465
"x2"	536872671
"x2"	536870508
"x2"	536850081
"x2"	536870776
"x2"	536871023
"x2"	536864791
"x2"	536870614
"x2"	536870961
"x2"	536871142
"x2"	536869322
"x2"	536871934
"x2"	536870390
"x2"	536869661
"x2"	536867774
"x2"	536868412
"x2"	536868212
"x2"	536870873
"x2"	536871411
"x2"	536869312
"x2"	536866337
"x2"	536870850
"x2"	536868476
"x2"	536860208
"x2"	536872268
"x2"	536872039
"x2"	536870764
"x2"	536861139
"x2"	536869133
"x2"	536870508
"x2"	536865345
"x2"	536870862
"x2"	536870383
"x2"	536870320
"x2"	536870643
"x2"	536881487
