"success"	"type"	"parameters"
0	"algorithm1"	14090
0	"algorithm1"	15880
0	"algorithm1"	14459
0	"algorithm1"	13182
0	"algorithm1"	15245
0	"algorithm1"	19503
0	"algorithm1"	10795
1	"algorithm1"	14034
1	"algorithm1"	17036
1	"algorithm1"	16135
0	"algorithm1"	19037
1	"algorithm1"	18930
0	"algorithm1"	11777
0	"algorithm1"	14603
0	"algorithm1"	13120
1	"algorithm1"	19882
1	"algorithm1"	18330
1	"algorithm1"	17324
0	"algorithm1"	16056
0	"algorithm1"	13660
0	"algorithm1"	14227
1	"algorithm1"	11984
0	"algorithm1"	17607
0	"algorithm1"	19632
0	"algorithm1"	19368
0	"algorithm1"	10418
0	"algorithm1"	17992
0	"algorithm1"	12690
0	"algorithm1"	10777
1	"algorithm1"	16456
0	"algorithm1"	13731
0	"algorithm1"	14949
0	"algorithm1"	15685
1	"algorithm1"	13158
0	"algorithm1"	10757
0	"algorithm1"	18520
0	"algorithm1"	10605
1	"algorithm1"	17382
0	"algorithm1"	16224
0	"algorithm1"	12287
0	"algorithm1"	19380
0	"algorithm1"	14815
0	"algorithm1"	19212
0	"algorithm1"	14101
0	"algorithm1"	11331
1	"algorithm1"	14753
0	"algorithm1"	10433
0	"algorithm1"	11986
0	"algorithm1"	17760
0	"algorithm1"	16147
0	"algorithm1"	10707
0	"algorithm1"	14459
0	"algorithm1"	16715
0	"algorithm1"	14819
0	"algorithm1"	10437
0	"algorithm1"	15145
0	"algorithm1"	18883
0	"algorithm1"	11546
0	"algorithm1"	18059
0	"algorithm1"	18362
1	"algorithm1"	10929
0	"algorithm1"	15370
0	"algorithm1"	16486
1	"algorithm1"	19923
1	"algorithm1"	19577
1	"algorithm1"	17797
0	"algorithm1"	10899
0	"algorithm1"	11881
1	"algorithm1"	17855
0	"algorithm1"	11642
0	"algorithm1"	17222
0	"algorithm1"	11308
0	"algorithm1"	14354
0	"algorithm1"	13621
0	"algorithm1"	11821
0	"algorithm1"	11982
0	"algorithm1"	15990
0	"algorithm1"	18413
1	"algorithm1"	18611
1	"algorithm1"	17545
0	"algorithm1"	10499
0	"algorithm1"	18211
1	"algorithm1"	17025
0	"algorithm1"	10389
1	"algorithm1"	16238
0	"algorithm1"	12836
0	"algorithm1"	11142
0	"algorithm1"	10343
1	"algorithm1"	11963
0	"algorithm1"	18626
0	"algorithm1"	16720
1	"algorithm1"	19768
1	"algorithm1"	19687
0	"algorithm1"	10835
1	"algorithm1"	17243
1	"algorithm1"	16718
1	"algorithm1"	17936
0	"algorithm1"	17791
0	"algorithm1"	19205
1	"algorithm1"	19951
1	"algorithm2"	18052
0	"algorithm2"	17034
1	"algorithm2"	15184
0	"algorithm2"	17592
1	"algorithm2"	22838
1	"algorithm2"	15956
0	"algorithm2"	17941
1	"algorithm2"	24595
0	"algorithm2"	15952
0	"algorithm2"	15164
1	"algorithm2"	16971
1	"algorithm2"	24936
1	"algorithm2"	19705
0	"algorithm2"	19360
1	"algorithm2"	20828
1	"algorithm2"	20456
1	"algorithm2"	18326
1	"algorithm2"	24247
1	"algorithm2"	19156
1	"algorithm2"	24353
1	"algorithm2"	20704
1	"algorithm2"	17202
0	"algorithm2"	24534
1	"algorithm2"	24210
1	"algorithm2"	20788
1	"algorithm2"	18400
1	"algorithm2"	21172
1	"algorithm2"	17275
1	"algorithm2"	22505
1	"algorithm2"	17175
0	"algorithm2"	17756
0	"algorithm2"	15979
1	"algorithm2"	23161
0	"algorithm2"	19541
1	"algorithm2"	21091
0	"algorithm2"	17732
0	"algorithm2"	17454
1	"algorithm2"	22982
0	"algorithm2"	20507
1	"algorithm2"	21802
0	"algorithm2"	16339
0	"algorithm2"	18373
1	"algorithm2"	17712
0	"algorithm2"	17714
1	"algorithm2"	19473
1	"algorithm2"	18747
1	"algorithm2"	24227
1	"algorithm2"	17190
0	"algorithm2"	17023
1	"algorithm2"	16907
0	"algorithm2"	19181
0	"algorithm2"	18389
1	"algorithm2"	23571
0	"algorithm2"	15756
1	"algorithm2"	21288
1	"algorithm2"	23290
1	"algorithm2"	18631
0	"algorithm2"	19137
1	"algorithm2"	19753
0	"algorithm2"	17271
0	"algorithm2"	18565
1	"algorithm2"	17193
0	"algorithm2"	22091
1	"algorithm2"	21017
0	"algorithm2"	15936
1	"algorithm2"	21604
1	"algorithm2"	24050
0	"algorithm2"	21603
1	"algorithm2"	24660
1	"algorithm2"	19274
1	"algorithm2"	19818
1	"algorithm2"	21532
0	"algorithm2"	17706
1	"algorithm2"	24199
0	"algorithm2"	19335
1	"algorithm2"	18008
1	"algorithm2"	16718
0	"algorithm2"	15906
0	"algorithm2"	15068
1	"algorithm2"	24889
1	"algorithm2"	18748
1	"algorithm2"	19703
0	"algorithm2"	19283
0	"algorithm2"	23814
1	"algorithm2"	23893
0	"algorithm2"	15111
1	"algorithm2"	18323
1	"algorithm2"	22456
0	"algorithm2"	15090
1	"algorithm2"	24638
0	"algorithm2"	15590
1	"algorithm2"	18475
1	"algorithm2"	23192
1	"algorithm2"	19110
1	"algorithm2"	15833
0	"algorithm2"	16037
1	"algorithm2"	24260
1	"algorithm2"	15735
0	"algorithm2"	23799
0	"algorithm2"	15838
