"crystal"	"frequency"
"x1"	536870666
"x1"	536868333
"x1"	536869491
"x1"	536876337
"x1"	536874073
"x1"	536870625
"x1"	536870224
"x1"	536870784
"x1"	536870738
"x1"	536871440
"x1"	536872123
"x1"	536871731
"x1"	536871912
"x1"	536869994
"x1"	536870295
"x1"	536872435
"x1"	536869800
"x1"	536870444
"x1"	536871647
"x1"	536873512
"x1"	536866915
"x1"	536858631
"x1"	536871382
"x1"	536872315
"x1"	536869083
"x1"	536870192
"x1"	536867957
"x1"	536870800
"x1"	536871274
"x1"	536870956
"x1"	536870854
"x1"	536871324
"x1"	536872100
"x1"	536871816
"x1"	536870516
"x1"	536895036
"x1"	536871013
"x1"	536871223
"x1"	536871610
"x1"	536871114
"x1"	536871309
"x1"	536870604
"x1"	536870602
"x1"	536871331
"x1"	536870319
"x1"	536863065
"x1"	536874004
"x1"	536872715
"x1"	536871416
"x1"	536787413
"x1"	536869118
"x1"	536866738
"x1"	536869913
"x1"	536870956
"x1"	536871206
"x1"	536868771
"x1"	536873007
"x1"	536872763
"x1"	536877846
"x1"	536870119
"x1"	536871210
"x1"	536870264
"x1"	536872132
"x1"	536871160
"x1"	536868366
"x1"	536869781
"x1"	536870947
"x1"	536870806
"x1"	536867136
"x1"	536870892
"x1"	536869907
"x1"	536871279
"x1"	536867334
"x1"	536877287
"x1"	536869844
"x1"	536828800
"x1"	536875516
"x1"	536802587
"x1"	536870594
"x1"	536869377
"x1"	536870924
"x1"	536877591
"x1"	536869617
"x1"	536871262
"x1"	536870562
"x1"	536870764
"x1"	536872885
"x1"	536882665
"x1"	536869979
"x1"	536869152
"x1"	536870588
"x1"	536870245
"x1"	536870028
"x1"	536867181
"x1"	536870840
"x1"	536870303
"x1"	536870282
"x1"	536783362
"x1"	536871522
"x1"	536871398
"x2"	536871112
"x2"	536871306
"x2"	536867773
"x2"	536839600
"x2"	536873031
"x2"	536875140
"x2"	536866352
"x2"	536868910
"x2"	536873659
"x2"	536868511
"x2"	536875250
"x2"	536872688
"x2"	536868579
"x2"	536868487
"x2"	536850221
"x2"	536867958
"x2"	536874440
"x2"	536870203
"x2"	536871218
"x2"	536886646
"x2"	536871367
"x2"	536876064
"x2"	536869687
"x2"	536870800
"x2"	536874893
"x2"	536872941
"x2"	536871521
"x2"	536871208
"x2"	536866613
"x2"	536869734
"x2"	536870605
"x2"	536873725
"x2"	536869785
"x2"	536871111
"x2"	536874848
"x2"	536871803
"x2"	536874292
"x2"	536869694
"x2"	536872354
"x2"	536863100
"x2"	536896284
"x2"	536871715
"x2"	536871040
"x2"	536868692
"x2"	536870618
"x2"	536871675
"x2"	536868308
"x2"	536871973
"x2"	536871141
"x2"	536869513
"x2"	536865077
"x2"	536870862
"x2"	536870349
"x2"	536871319
"x2"	536869421
"x2"	536871089
"x2"	536870731
"x2"	536870145
"x2"	536872764
"x2"	536871500
"x2"	536868956
"x2"	536871485
"x2"	536871287
"x2"	536870424
"x2"	536870414
"x2"	536871643
"x2"	536870785
"x2"	536870978
"x2"	536869437
"x2"	536870388
"x2"	536871267
"x2"	536870775
"x2"	536871149
"x2"	536871011
"x2"	536871133
"x2"	536871787
"x2"	536869138
"x2"	536872140
"x2"	536872376
"x2"	536871186
"x2"	536877188
"x2"	536870188
"x2"	536870608
"x2"	536866365
"x2"	536871012
"x2"	536871805
"x2"	536872392
"x2"	536871616
"x2"	536871211
"x2"	536871015
"x2"	536871480
"x2"	536871005
"x2"	536871199
"x2"	536871828
"x2"	536870054
"x2"	536871171
"x2"	536870432
"x2"	536863141
"x2"	536871065
"x2"	536872836
